gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
108,The Return of Sherlock Holmes,"Doyle, Arthur Conan",69,en,Detective Fiction,Public domain in the USA.,TRUE
109,"Renascence, and Other Poems","Millay, Edna St. Vincent",70,en,NA,Public domain in the USA.,TRUE
110,Tess of the d'Urbervilles: A Pure Woman,"Hardy, Thomas",23,en,Banned Books from Anne Haight's list,Public domain in the USA.,TRUE
111,Freckles,"Stratton-Porter, Gene",71,en,NA,Public domain in the USA.,TRUE
113,The Secret Garden,"Burnett, Frances Hodgson",73,en,Children's Literature,Public domain in the USA.,TRUE
114,The Tenniel Illustrations for Carroll's Alice in Wonderland,"Tenniel, John",74,en,NA,Public domain in the USA.,TRUE
115,United States Census Figures Back to 1630,United States. Bureau of the Census,25,en,NA,Public domain in the USA.,TRUE
119,A Tramp Abroad,"Twain, Mark",53,en,NA,Public domain in the USA.,TRUE
120,Treasure Island,"Stevenson, Robert Louis",35,en,"Children's Literature/Historical Fiction/Best Books Ever Listings/Pirates, Buccaneers, Corsairs, etc.",Public domain in the USA.,TRUE
121,Northanger Abbey,"Austen, Jane",68,en,Gothic Fiction,Public domain in the USA.,TRUE
122,The Return of the Native,"Hardy, Thomas",23,en,NA,Public domain in the USA.,TRUE
123,At the Earth's Core,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
124,"Deuterocanonical Books of the Bible
Apocrypha",Anonymous,216,en,Christianity,Public domain in the USA.,TRUE
125,A Girl of the Limberlost,"Stratton-Porter, Gene",71,en,NA,Public domain in the USA.,TRUE
126,The Poison Belt,"Doyle, Arthur Conan",69,en,Science Fiction,Public domain in the USA.,TRUE
127,"The Number ""e""",NA,NA,en,Mathematics,Public domain in the USA.,TRUE
128,The Arabian Nights Entertainments,"Lang, Andrew",79,en,NA,Public domain in the USA.,TRUE
129,The Square Root of 2,NA,NA,en,Mathematics,Public domain in the USA.,TRUE
130,Orthodoxy,"Chesterton, G. K. (Gilbert Keith)",80,en,Christianity,Public domain in the USA.,TRUE
131,"The Pilgrim's Progress from this world to that which is to come
Delivered under the similitude of a dream, by John Bunyan","Bunyan, John",81,en,Harvard Classics/Christianity,Public domain in the USA.,TRUE
132,The Art of War,"Sunzi, active 6th century B.C.",4349,en,NA,Public domain in the USA.,TRUE
133,The Damnation of Theron Ware,"Frederic, Harold",83,en,"Bestsellers, American, 1895-1923",Public domain in the USA.,TRUE
134,"Maria; Or, The Wrongs of Woman","Wollstonecraft, Mary",84,en,NA,Public domain in the USA.,TRUE
135,Les Misérables,"Hugo, Victor",85,en,Historical Fiction/Banned Books from Anne Haight's list,Public domain in the USA.,TRUE
136,A Child's Garden of Verses,"Stevenson, Robert Louis",35,en,NA,Public domain in the USA.,TRUE
137,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School","Burnett, Frances Hodgson",73,en,School Stories,Public domain in the USA.,TRUE
138,George Sand: Some Aspects of Her Life and Writings,"Doumic, René",86,en,NA,Public domain in the USA.,TRUE
139,The Lost World,"Doyle, Arthur Conan",69,en,Science Fiction,Public domain in the USA.,TRUE
140,The Jungle,"Sinclair, Upton",88,en,"Contemporary Reviews/Bestsellers, American, 1895-1923/Banned Books from Anne Haight's list/Banned Books List from the American Library Association",Public domain in the USA.,TRUE
141,Mansfield Park,"Austen, Jane",68,en,NA,Public domain in the USA.,TRUE
142,"The $30,000 Bequest, and Other Stories","Twain, Mark",53,en,NA,Public domain in the USA.,TRUE
143,The Mayor of Casterbridge,"Hardy, Thomas",23,en,NA,Public domain in the USA.,TRUE
144,The Voyage Out,"Woolf, Virginia",89,en,NA,Public domain in the USA.,TRUE
145,Middlemarch,"Eliot, George",90,en,Best Books Ever Listings/Historical Fiction,Public domain in the USA.,TRUE
146,"A Little Princess
Being the whole story of Sara Crewe now told for the first time","Burnett, Frances Hodgson",73,en,Children's Literature/School Stories,Public domain in the USA.,TRUE
147,Common Sense,"Paine, Thomas",91,en,NA,Public domain in the USA.,TRUE
148,The Autobiography of Benjamin Franklin,"Franklin, Benjamin",92,en,Harvard Classics,Public domain in the USA.,TRUE
149,The Lost Continent,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
150,The Republic,Plato,93,en,NA,Public domain in the USA.,TRUE
